mission_id,split,site,drone_model,thermal_camera,rgb_camera,pilot,operator,total_frames,anomaly_frames,anomaly_rate_pct,flight_date,weather,inspection_type,regulatory_clearance,firmware_version
MISSION_0077,val,"{'site_id': 'SITE_AMD_008', 'lat': 23.0225, 'lon': 72.5714, 'city': 'Ahmedabad', 'tower_type': 'lattice', 'height_m': 45}",Skydio X10,DJI Zenmuse H30T,Sony ILX-LR1 (4K),PILOT_010,Indus Towers,740,0,0.0,2024-01-04,partly_cloudy,emergency,DGCA-UAS-53758,v8.9.27
MISSION_0078,val,"{'site_id': 'SITE_JAI_009', 'lat': 26.9124, 'lon': 75.7873, 'city': 'Jaipur', 'tower_type': 'monopole', 'height_m': 33}",Skydio X10,FLIR Vue Pro R,Hasselblad L2D-20c,PILOT_005,GTL Infra,1370,182,13.28,2024-03-06,haze,routine,DGCA-UAS-73500,v5.1.94
MISSION_0079,val,"{'site_id': 'SITE_LKN_010', 'lat': 26.8467, 'lon': 80.9462, 'city': 'Lucknow', 'tower_type': 'guyed', 'height_m': 52}",Skydio X10,FLIR Vue Pro R,Sony ILX-LR1 (4K),PILOT_005,TASL,1080,102,9.44,2024-01-17,clear,post_storm,DGCA-UAS-18538,v8.4.31
MISSION_0080,val,"{'site_id': 'SITE_BOM_001', 'lat': 19.076, 'lon': 72.8777, 'city': 'Mumbai', 'tower_type': 'lattice', 'height_m': 42}",Parrot ANAFI USA,FLIR Zenmuse H20T,Hasselblad L2D-20c,PILOT_001,GTL Infra,850,102,12.0,2024-11-06,clear,post_storm,DGCA-UAS-52727,v7.6.98
MISSION_0081,val,"{'site_id': 'SITE_DEL_002', 'lat': 28.6139, 'lon': 77.209, 'city': 'Delhi', 'tower_type': 'monopole', 'height_m': 35}",DJI Matrice 300 RTK,FLIR Vue Pro R,DJI DL 50mm,PILOT_002,TASL,1620,183,11.3,2024-03-20,partly_cloudy,commissioning,DGCA-UAS-42341,v9.3.77
MISSION_0082,val,"{'site_id': 'SITE_BLR_003', 'lat': 12.9716, 'lon': 77.5946, 'city': 'Bengaluru', 'tower_type': 'lattice', 'height_m': 55}",Parrot ANAFI USA,FLIR Zenmuse H20T,Hasselblad L2D-20c,PILOT_001,TASL,1290,0,0.0,2024-10-03,partly_cloudy,post_storm,DGCA-UAS-33280,v8.9.14
MISSION_0083,val,"{'site_id': 'SITE_CHE_004', 'lat': 13.0827, 'lon': 80.2707, 'city': 'Chennai', 'tower_type': 'monopole', 'height_m': 38}",Parrot ANAFI USA,DJI Zenmuse H30T,Sony ILX-LR1 (4K),PILOT_005,Indus Towers,700,101,14.43,2024-11-11,partly_cloudy,routine,DGCA-UAS-71351,v6.3.81
MISSION_0084,val,"{'site_id': 'SITE_HYD_005', 'lat': 17.385, 'lon': 78.4867, 'city': 'Hyderabad', 'tower_type': 'guyed', 'height_m': 60}",DJI Matrice 30T,FLIR Vue Pro R,Hasselblad L2D-20c,PILOT_003,TowerCo India,1600,0,0.0,2024-01-13,clear,routine,DGCA-UAS-43767,v9.5.12
MISSION_0085,val,"{'site_id': 'SITE_KOL_006', 'lat': 22.5726, 'lon': 88.3639, 'city': 'Kolkata', 'tower_type': 'lattice', 'height_m': 48}",DJI Matrice 300 RTK,Teledyne FLIR Boson+,DJI DL 50mm,PILOT_007,TASL,780,172,22.05,2024-11-26,overcast,commissioning,DGCA-UAS-55315,v5.8.90
MISSION_0086,val,"{'site_id': 'SITE_PUN_007', 'lat': 18.5204, 'lon': 73.8567, 'city': 'Pune', 'tower_type': 'monopole', 'height_m': 30}",Skydio X10,Teledyne FLIR Boson+,DJI DL 50mm,PILOT_002,TowerCo India,1230,0,0.0,2024-12-07,overcast,routine,DGCA-UAS-50563,v5.1.58
MISSION_0087,val,"{'site_id': 'SITE_AMD_008', 'lat': 23.0225, 'lon': 72.5714, 'city': 'Ahmedabad', 'tower_type': 'lattice', 'height_m': 45}",DJI Matrice 300 RTK,FLIR Zenmuse H20T,DJI DL 50mm,PILOT_001,TASL,1330,263,19.77,2024-11-21,partly_cloudy,routine,DGCA-UAS-24711,v7.2.47
MISSION_0088,val,"{'site_id': 'SITE_JAI_009', 'lat': 26.9124, 'lon': 75.7873, 'city': 'Jaipur', 'tower_type': 'monopole', 'height_m': 33}",Skydio X10,FLIR Vue Pro R,Hasselblad L2D-20c,PILOT_001,GTL Infra,1160,0,0.0,2024-06-06,clear,routine,DGCA-UAS-16714,v5.8.19
MISSION_0089,val,"{'site_id': 'SITE_LKN_010', 'lat': 26.8467, 'lon': 80.9462, 'city': 'Lucknow', 'tower_type': 'guyed', 'height_m': 52}",DJI Matrice 300 RTK,FLIR Zenmuse H20T,DJI DL 50mm,PILOT_004,GTL Infra,770,111,14.42,2024-07-18,overcast,commissioning,DGCA-UAS-44908,v8.8.92
MISSION_0090,val,"{'site_id': 'SITE_BOM_001', 'lat': 19.076, 'lon': 72.8777, 'city': 'Mumbai', 'tower_type': 'lattice', 'height_m': 42}",Skydio X10,Teledyne FLIR Boson+,DJI DL 50mm,PILOT_004,TowerCo India,920,253,27.5,2024-10-13,overcast,emergency,DGCA-UAS-52520,v8.8.15
MISSION_0091,test,"{'site_id': 'SITE_DEL_002', 'lat': 28.6139, 'lon': 77.209, 'city': 'Delhi', 'tower_type': 'monopole', 'height_m': 35}",Parrot ANAFI USA,FLIR Zenmuse H20T,DJI DL 50mm,PILOT_010,Indus Towers,740,61,8.24,2024-09-12,clear,emergency,DGCA-UAS-63417,v5.3.01
MISSION_0092,test,"{'site_id': 'SITE_BLR_003', 'lat': 12.9716, 'lon': 77.5946, 'city': 'Bengaluru', 'tower_type': 'lattice', 'height_m': 55}",Skydio X10,Teledyne FLIR Boson+,Sony ILX-LR1 (4K),PILOT_004,TowerCo India,600,0,0.0,2024-03-18,overcast,emergency,DGCA-UAS-92138,v9.1.35
MISSION_0093,test,"{'site_id': 'SITE_CHE_004', 'lat': 13.0827, 'lon': 80.2707, 'city': 'Chennai', 'tower_type': 'monopole', 'height_m': 38}",DJI Matrice 30T,FLIR Vue Pro R,DJI DL 50mm,PILOT_008,TASL,1420,333,23.45,2024-06-17,partly_cloudy,routine,DGCA-UAS-32462,v5.1.85
MISSION_0094,test,"{'site_id': 'SITE_HYD_005', 'lat': 17.385, 'lon': 78.4867, 'city': 'Hyderabad', 'tower_type': 'guyed', 'height_m': 60}",Parrot ANAFI USA,DJI Zenmuse H30T,DJI DL 50mm,PILOT_001,TASL,600,101,16.83,2024-06-05,haze,post_storm,DGCA-UAS-39969,v5.3.01
MISSION_0095,test,"{'site_id': 'SITE_KOL_006', 'lat': 22.5726, 'lon': 88.3639, 'city': 'Kolkata', 'tower_type': 'lattice', 'height_m': 48}",DJI Matrice 30T,FLIR Vue Pro R,DJI DL 50mm,PILOT_004,GTL Infra,980,81,8.27,2024-02-25,clear,emergency,DGCA-UAS-11013,v9.2.71
MISSION_0096,test,"{'site_id': 'SITE_PUN_007', 'lat': 18.5204, 'lon': 73.8567, 'city': 'Pune', 'tower_type': 'monopole', 'height_m': 30}",Skydio X10,Teledyne FLIR Boson+,Sony ILX-LR1 (4K),PILOT_002,TowerCo India,1100,51,4.64,2024-11-24,haze,emergency,DGCA-UAS-34699,v8.6.55
MISSION_0097,test,"{'site_id': 'SITE_AMD_008', 'lat': 23.0225, 'lon': 72.5714, 'city': 'Ahmedabad', 'tower_type': 'lattice', 'height_m': 45}",Skydio X10,DJI Zenmuse H30T,DJI DL 50mm,PILOT_005,Indus Towers,1700,71,4.18,2024-05-25,clear,commissioning,DGCA-UAS-27284,v6.6.44
MISSION_0098,test,"{'site_id': 'SITE_JAI_009', 'lat': 26.9124, 'lon': 75.7873, 'city': 'Jaipur', 'tower_type': 'monopole', 'height_m': 33}",Parrot ANAFI USA,FLIR Vue Pro R,DJI DL 50mm,PILOT_008,Indus Towers,790,223,28.23,2024-09-20,haze,commissioning,DGCA-UAS-25800,v5.4.71
MISSION_0099,test,"{'site_id': 'SITE_LKN_010', 'lat': 26.8467, 'lon': 80.9462, 'city': 'Lucknow', 'tower_type': 'guyed', 'height_m': 52}",DJI Matrice 30T,Teledyne FLIR Boson+,DJI DL 50mm,PILOT_007,TowerCo India,1250,182,14.56,2024-09-04,haze,routine,DGCA-UAS-47253,v8.0.11
MISSION_0100,test,"{'site_id': 'SITE_BOM_001', 'lat': 19.076, 'lon': 72.8777, 'city': 'Mumbai', 'tower_type': 'lattice', 'height_m': 42}",Parrot ANAFI USA,DJI Zenmuse H30T,Sony ILX-LR1 (4K),PILOT_010,TowerCo India,1760,61,3.47,2024-08-18,haze,routine,DGCA-UAS-61016,v9.1.15
